,player_id,season,age,games,passing_yards,pass_td,interception,comp_pct,receptions,receiving_yards,reception_td,rush_attempts,rushing_yards,run_td
0,00-0035676,2019,22,16,0.0,0.0,0.0,0.0,52.0,1051.0,8.0,3.0,60.0,1.0
1,00-0035676,2020,23,14,0.0,0.0,0.0,0.0,70.0,1075.0,12.0,0.0,0.0,0.0
2,00-0035676,2021,24,13,0.0,0.0,0.0,0.0,63.0,869.0,5.0,2.0,10.0,0.0
3,00-0035676,2022,25,17,0.0,0.0,0.0,0.0,88.0,1496.0,12.0,0.0,0.0,0.0
4,00-0035676,2023,26,17,0.0,0.0,0.0,0.0,106.0,1456.0,8.0,0.0,0.0,0.0
5,00-0031609,2016,25,6,0.0,0.0,0.0,0.0,16.0,160.0,0.0,0.0,0.0,0.0
6,00-0031609,2017,26,9,0.0,0.0,0.0,0.0,21.0,244.0,2.0,0.0,0.0,0.0
7,00-0031609,2018,27,3,0.0,0.0,0.0,0.0,3.0,48.0,1.0,0.0,0.0,0.0
8,00-0036265,2020,22,9,0.0,0.0,0.0,0.0,2.0,21.0,0.0,46.0,242.0,2.0
9,00-0036265,2021,23,17,0.0,0.0,0.0,0.0,34.0,313.0,2.0,187.0,803.0,5.0
10,00-0036265,2022,24,17,0.0,0.0,0.0,0.0,28.0,206.0,0.0,186.0,770.0,7.0
11,00-0036265,2023,25,15,0.0,0.0,0.0,0.0,22.0,223.0,0.0,178.0,613.0,2.0
12,00-0027942,2012,24,16,0.0,0.0,0.0,0.0,97.0,1350.0,12.0,4.0,38.0,0.0
13,00-0027942,2013,25,16,0.0,0.0,0.0,0.0,98.0,1426.0,12.0,0.0,0.0,0.0
14,00-0027942,2014,26,12,0.0,0.0,0.0,0.0,69.0,1041.0,8.0,2.0,2.0,0.0
15,00-0027942,2015,27,16,0.0,0.0,0.0,0.0,86.0,1297.0,10.0,0.0,0.0,0.0
16,00-0027942,2016,28,10,0.0,0.0,0.0,0.0,66.0,964.0,4.0,0.0,0.0,0.0
17,00-0027942,2017,29,16,0.0,0.0,0.0,0.0,75.0,1086.0,8.0,0.0,0.0,0.0
18,00-0027942,2018,30,9,0.0,0.0,0.0,0.0,46.0,694.0,7.0,0.0,0.0,0.0
19,00-0027942,2020,32,16,0.0,0.0,0.0,0.0,47.0,523.0,2.0,0.0,0.0,0.0
20,00-0027942,2021,33,16,0.0,0.0,0.0,0.0,54.0,848.0,3.0,0.0,0.0,0.0
21,00-0027942,2022,34,13,0.0,0.0,0.0,0.0,24.0,238.0,2.0,0.0,0.0,0.0
22,00-0029654,2012,22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,00-0029654,2013,23,7,0.0,0.0,0.0,0.0,8.0,130.0,0.0,2.0,6.0,0.0
24,00-0029654,2014,24,7,0.0,0.0,0.0,0.0,9.0,93.0,0.0,2.0,-2.0,0.0
25,00-0038612,2023,24,8,0.0,0.0,0.0,0.0,12.0,246.0,4.0,0.0,0.0,0.0
26,00-0031288,2015,25,7,791.0,7.0,2.0,0.603,0.0,0.0,0.0,9.0,37.0,0.0
27,00-0031288,2017,27,2,57.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0
28,00-0031288,2019,29,2,182.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,39.0,1.0
29,00-0031288,2020,30,1,8.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
30,00-0031288,2023,33,2,10.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
31,00-0032441,2016,23,8,0.0,0.0,0.0,0.0,7.0,88.0,0.0,0.0,0.0,0.0
32,00-0030540,2013,22,11,0.0,0.0,0.0,0.0,37.0,519.0,4.0,0.0,0.0,0.0
33,00-0030540,2014,23,4,0.0,0.0,0.0,0.0,3.0,38.0,0.0,0.0,0.0,0.0
34,00-0030540,2015,24,6,0.0,0.0,0.0,0.0,13.0,141.0,0.0,0.0,0.0,0.0
35,00-0033293,2017,23,10,0.0,0.0,0.0,0.0,9.0,22.0,0.0,81.0,448.0,4.0
36,00-0033293,2018,24,12,0.0,0.0,0.0,0.0,26.0,206.0,1.0,133.0,728.0,8.0
37,00-0033293,2019,25,16,0.0,0.0,0.0,0.0,49.0,474.0,3.0,236.0,1084.0,16.0
38,00-0033293,2020,26,14,0.0,0.0,0.0,0.0,47.0,355.0,2.0,202.0,1104.0,9.0
39,00-0033293,2021,27,15,0.0,0.0,0.0,0.0,52.0,391.0,6.0,171.0,799.0,4.0
40,00-0033293,2022,28,17,0.0,0.0,0.0,0.0,59.0,397.0,5.0,213.0,1121.0,2.0
41,00-0033293,2023,29,11,0.0,0.0,0.0,0.0,30.0,233.0,1.0,142.0,656.0,2.0
42,00-0023459,2012,29,16,4004.0,39.0,8.0,0.615,1.0,-1.0,0.0,41.0,276.0,2.0
43,00-0023459,2013,30,9,2419.0,18.0,6.0,0.621,0.0,0.0,0.0,21.0,130.0,0.0
44,00-0023459,2014,31,16,4207.0,38.0,5.0,0.621,0.0,0.0,0.0,33.0,283.0,2.0
45,00-0023459,2015,32,16,3510.0,34.0,8.0,0.559,0.0,0.0,0.0,47.0,356.0,1.0
46,00-0023459,2016,33,16,4184.0,41.0,7.0,0.622,0.0,0.0,0.0,52.0,388.0,4.0
47,00-0023459,2017,34,7,1507.0,18.0,6.0,0.59,0.0,0.0,0.0,19.0,131.0,0.0
48,00-0023459,2018,35,16,4093.0,25.0,2.0,0.575,0.0,0.0,0.0,39.0,276.0,2.0
49,00-0023459,2019,36,16,3722.0,26.0,4.0,0.583,0.0,0.0,0.0,29.0,204.0,1.0
50,00-0023459,2020,37,16,4117.0,49.0,5.0,0.685,1.0,-6.0,0.0,29.0,157.0,3.0
51,00-0023459,2021,38,16,3927.0,37.0,4.0,0.655,1.0,-4.0,0.0,21.0,114.0,3.0
52,00-0023459,2022,39,17,3441.0,27.0,12.0,0.609,0.0,0.0,0.0,20.0,110.0,1.0
53,00-0023459,2023,40,1,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,00-0030550,2013,22,15,21.0,1.0,0.0,1.0,51.0,484.0,1.0,2.0,4.0,0.0
55,00-0030550,2014,23,6,0.0,0.0,0.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0
56,00-0032009,2015,22,11,0.0,0.0,0.0,0.0,27.0,260.0,2.0,0.0,0.0,0.0
57,00-0032009,2016,23,15,0.0,0.0,0.0,0.0,55.0,624.0,2.0,5.0,18.0,0.0
58,00-0032009,2017,24,16,0.0,0.0,0.0,0.0,61.0,625.0,1.0,1.0,6.0,0.0
59,00-0032009,2018,25,16,0.0,0.0,0.0,0.0,76.0,816.0,6.0,2.0,11.0,0.0
60,00-0032009,2019,26,12,0.0,0.0,0.0,0.0,37.0,374.0,2.0,1.0,1.0,0.0
61,00-0032009,2020,27,7,0.0,0.0,0.0,0.0,23.0,228.0,2.0,0.0,0.0,0.0
62,00-0032009,2021,28,17,0.0,0.0,0.0,0.0,41.0,383.0,0.0,0.0,0.0,0.0
63,00-0033896,2017,23,6,0.0,0.0,0.0,0.0,12.0,127.0,3.0,0.0,0.0,0.0
64,00-0033896,2018,24,3,0.0,0.0,0.0,0.0,5.0,50.0,1.0,0.0,0.0,0.0
65,00-0033896,2019,25,7,0.0,0.0,0.0,0.0,9.0,76.0,0.0,0.0,0.0,0.0
66,00-0033896,2020,26,13,0.0,0.0,0.0,0.0,12.0,150.0,3.0,0.0,0.0,0.0
67,00-0033896,2021,27,7,0.0,0.0,0.0,0.0,12.0,110.0,0.0,0.0,0.0,0.0
