playerID,year,games,passYds,passTDs,ints,compPct,rec,recYds,recTDs,rshAtt,rshYds,rshTDs
00-0038783,2023,4,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0
00-0021999,2012,6,0.0,0.0,0.0,0.0,27.0,242.0,2.0,8.0,48.0,0.0
00-0021999,2013,9,0.0,0.0,0.0,0.0,39.0,461.0,1.0,2.0,-8.0,0.0
00-0032792,2017,1,110.0,0.0,0.0,0.731,0.0,0.0,0.0,1.0,22.0,0.0
00-0032792,2018,2,22.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
00-0032792,2020,1,16.0,0.0,1.0,0.357,0.0,0.0,0.0,2.0,12.0,0.0
00-0032792,2022,2,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0023367,2012,16,0.0,0.0,0.0,0.0,46.0,746.0,5.0,0.0,0.0,0.0
00-0023367,2013,16,0.0,0.0,0.0,0.0,58.0,919.0,4.0,0.0,0.0,0.0
00-0023367,2014,16,0.0,0.0,0.0,0.0,40.0,647.0,2.0,0.0,0.0,0.0
00-0023367,2015,13,0.0,0.0,0.0,0.0,47.0,658.0,4.0,0.0,0.0,0.0
00-0035835,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
00-0033958,2017,4,226.0,3.0,5.0,0.479,0.0,0.0,0.0,7.0,23.0,0.0
00-0033958,2018,4,262.0,4.0,7.0,0.494,0.0,0.0,0.0,10.0,50.0,1.0
00-0033958,2020,1,9.0,0.0,0.0,0.429,0.0,0.0,0.0,1.0,9.0,0.0
00-0033958,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
00-0033958,2022,3,133.0,1.0,1.0,0.56,0.0,0.0,0.0,2.0,7.0,0.0
00-0033958,2023,1,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0032120,2017,4,0.0,0.0,0.0,0.0,6.0,82.0,0.0,0.0,0.0,0.0
00-0032120,2018,4,0.0,0.0,0.0,0.0,6.0,47.0,0.0,0.0,0.0,0.0
00-0031549,2015,13,0.0,0.0,0.0,0.0,23.0,279.0,1.0,0.0,0.0,0.0
00-0031549,2016,15,0.0,0.0,0.0,0.0,36.0,367.0,2.0,5.0,14.0,0.0
00-0031549,2017,16,0.0,0.0,0.0,0.0,62.0,768.0,8.0,1.0,7.0,0.0
00-0031549,2018,16,15.0,0.0,0.0,1.0,64.0,743.0,4.0,3.0,32.0,0.0
00-0031549,2019,11,0.0,0.0,0.0,0.0,39.0,363.0,3.0,2.0,7.0,0.0
00-0031549,2020,16,0.0,0.0,0.0,0.0,48.0,896.0,8.0,0.0,0.0,0.0
00-0031549,2021,14,0.0,0.0,0.0,0.0,37.0,473.0,3.0,3.0,11.0,0.0
00-0031549,2022,11,0.0,0.0,0.0,0.0,31.0,362.0,2.0,0.0,0.0,0.0
00-0031549,2023,15,0.0,0.0,0.0,0.0,35.0,381.0,4.0,0.0,0.0,0.0
